"nama_tempat","lat","lng","alamat","kecamatan","kota_kab"
"KCP BRI Diponegoro Smrg",-7.0496363,110.4188442,"Jl. Setia Budi No.119-A, Srondol Kulon, Kota Semarang","Kecamatan Banyumanik","Kota Semarang"
"KCP JL MAJAPAHIT SEMARANG",-7.0018178,110.447767,"KCP, Jl. Majapahit No.127, Gayamsari, Semarang City","Kecamatan Gayamsari","Kota Semarang"
"KCP MAJAPAHIT, SMG",-7.0034226,110.4502395,"KCP MAJAPAHIT, Jl. Majapahit No.133, Gayamsari, Semarang City","Kecamatan Gayamsari","Kota Semarang"
"KCP MAL CIPUTRA",-6.9888667,110.4237954,"KCP MAL CIPUTRA, Lt.GF Extension Mall Tengah, Jl. Simpang Lima No.1, Pekunden, Kota Semarang","Kecamatan Semarang Tengah","Kota Semarang"
"KCP UNIKA",-7.0214205,110.3979022,"KCP UNIKA, Jl. Pawiyatan Luhur Sel. IV No.1, Bendan Duwur, Kota Semarang","Kecamatan Gajahmungkur","Kota Semarang"
"KKB Banyumanik BPR RAM",-7.0653333,110.4156203,"Jl. Sukun Raya, Srondol Wetan, Kota Semarang","Kecamatan Banyumanik","Kota Semarang"
"Mandiri Cabang Semarang Srondol",-7.0605337,110.4141229,"Jl. Setia Budi No.152, Sumurboto, Kota Semarang","Kecamatan Banyumanik","Kota Semarang"
"Mandiri KCP Semarang R.S. Kariadi",-6.994868,110.408005,"Jl. DR. Sutomo No.16, Randusari, Kota Semarang","Kecamatan Semarang Selatan","Kota Semarang"
"Mandiri Micro Business Unit Semarang Majapahit",-7.008335,110.4640602,"Kompleks Ruko Majapahit Jalan Majapahit Kav. CDE, RW.No.324, Palebon, Kota Semarang","Kecamatan Pedurungan","Kota Semarang"
"Mandiri Mitra Usaha KCP Semarang Sampangan",-7.0077995,110.3962865,"Jl. Kelud Raya No.17, Bendan Ngisor, Kota Semarang","Kecamatan Gajahmungkur","Kota Semarang"
"Panin KCP Tanah Mas",-6.9590305,110.4079847,"Ruko Telaga Mas Blok A No. 18B-19B, Jl. Telaga Mas Raya, Panggung Lor, Semarang Utara, Panggung Lor, Kota Semarang","Kecamatan Semarang Utara","Kota Semarang"
"Phapros, PT - Semarang",-6.9977801,110.3972897,"Jl. Simongan No.131, Bongsari, Kota Semarang","Kecamatan Semarang Barat","Kota Semarang"
"PT BPR Karticentra Artha Cab Semarang",-6.9961925,110.4086759,"Jl. Letnan Jenderal S. Parman, Bendungan, Kota Semarang","Kecamatan Gajahmungkur","Kota Semarang"
"PT BPR Muncul Artha Sejahtera",-6.9572402,110.4568216,"Jalan Raya Kaligawe No.12 B, Muktiharjo Lor, Genuk, Muktiharjo Lor, Semarang, Muktiharjo Lor, Kota Semarang","Kecamatan Genuk","Kota Semarang"
"PT BPR Pasar Boja",-6.9923784,110.3520907,"Jl. Ngaliyan 99 B, Purwoyoso, Kota Semarang","Kecamatan Ngaliyan","Kota Semarang"
"PT BPRS Bina Finansia (Binasia)",-6.98621,110.4552972,"Jl. Soekarno Hatta No.9, Kalicari, Kota Semarang","Kecamatan Pedurungan","Kota Semarang"
"Teras Digital Bri Pasar Ngaliyan",-6.9982273,110.3465939,"Jl. Wismasari Raya No.5, Ngaliyan, Kota Semarang","Kecamatan Ngaliyan","Kota Semarang"
"UOB Kredit Center",-6.9752349,110.4271886,"Gg. Tengah No.16, Kranggan, Kota Semarang","Kecamatan Semarang Tengah","Kota Semarang"
"UOB Majapahit",-6.9983258,110.4420331,"Jl. Brigjen Sudiarto No.106, Pandean Lamper, Kota Semarang","Kecamatan Gayamsari","Kota Semarang"
"UOB Semarang",-6.9861564,110.4133123,"Menara Suara Merdeka, Jl. Pandanaran No.30, Kel, Pekunden, Kota Semarang","Kecamatan Semarang Selatan","Kota Semarang"
"UOB Siliwangi",-6.9808087,110.39751,"Jl. Jenderal Sudirman No.131, Krobokan, Kota Semarang","Kecamatan Semarang Barat","Kota Semarang"
